Position,Object,Model,,Selected_object,Confidence_rating
On_its_side,Notebook,incep,first_object,binder,35
On_its_side,Notebook,NAS,first_object,desktop_computer,25
On_its_side,Notebook,vgg,first_object,wallet,28
On_its_side,Notebook,incep,second_object,wallet,16
On_its_side,Notebook,NAS,second_object,loudspeaker,19
On_its_side,Notebook,vgg,second_object,loudspeaker,6
On_its_side,Notebook,incep,third_object,book_jacket,3
On_its_side,Notebook,NAS,third_object,binder,17
On_its_side,Notebook,vgg,third_object,lighter,6
On_its_side,Pot,incep,first_object,bucket,12
On_its_side,Pot,NAS,first_object,pencil_sharpener,30
On_its_side,Pot,vgg,first_object,broom,6
On_its_side,Pot,incep,second_object,cup,8
On_its_side,Pot,NAS,second_object,cup,22
On_its_side,Pot,vgg,second_object,pencil_sharpener,5
On_its_side,Pot,incep,third_object,coffee_mug,4
On_its_side,Pot,NAS,third_object,water_jug,12
On_its_side,Pot,vgg,third_object,lighter,5
On_its_side,Soap_dispenser,incep,first_object,syringe,30
On_its_side,Soap_dispenser,NAS,first_object,sunscreen,26
On_its_side,Soap_dispenser,vgg,first_object,water_bottle,26
On_its_side,Soap_dispenser,incep,second_object,lotion,11
On_its_side,Soap_dispenser,NAS,second_object,pill_bottle,18
On_its_side,Soap_dispenser,vgg,second_object,pill_bottle,16
On_its_side,Soap_dispenser,incep,third_object,nipple,3
On_its_side,Soap_dispenser,NAS,third_object,lotion,15
On_its_side,Soap_dispenser,vgg,third_object,oil_filter,9
On_its_side,Sunglasses,incep,first_object,sunglasses,8
On_its_side,Sunglasses,NAS,first_object,sunglasses,81
On_its_side,Sunglasses,vgg,first_object,puck,38
On_its_side,Sunglasses,incep,second_object,sunglass,8
On_its_side,Sunglasses,NAS,second_object,sunglass,14
On_its_side,Sunglasses,vgg,second_object,nail,22
On_its_side,Sunglasses,incep,third_object,window_screen,4
On_its_side,Sunglasses,NAS,third_object,lens_cap,1
On_its_side,Sunglasses,vgg,third_object,screw,9
On_its_side,Umbrella,incep,first_object,umbrella,78
On_its_side,Umbrella,NAS,first_object,umbrella,93
On_its_side,Umbrella,vgg,first_object,umbrella,57
On_its_side,Umbrella,incep,second_object,mountain_tent,3
On_its_side,Umbrella,NAS,second_object,mountain_tent,0
On_its_side,Umbrella,vgg,second_object,mountain_tent,19
On_its_side,Umbrella,incep,third_object,swab,1
